ID	Name	Handedness	Height	Weight	Batting Average	Home Runs	Body Mass Index	NZ	Sqrt-HR	BMI-Type	R Handed	L Handed	B Handed	737	316	104	HR Norm	1/Weight
221	Vern Fuller	R	73	170	0.23	14	22.42634641	1	3.741657387	"(16,23]"	1	0	0	14	0	0	18.99592944	0.737
222	Paul Hartzell	R	77	200	0	0	23.71394839	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
223	Wayne Gross	L	74	210	0.23	121	26.95945946	1	11	"(25,32]"	0	1	0	0	121	0	382.9113924	0.316
224	Mike Champion	R	72	185	0.23	2	25.08777006	1	1.414213562	"(25,32]"	1	0	0	2	0	0	2.713704206	0.737
225	Ralph Botting	L	72	195	0	0	26.44386574	0	0	"(25,32]"	0	1	0	0	0	0	0	0.316
226	Paul Casanova	R	76	180	0.23	50	21.90789474	1	7.071067812	"(16,23]"	1	0	0	50	0	0	67.84260516	0.737
227	Steve Rogers	R	74	175	0.14	0	22.46621622	1	0	"(16,23]"	1	0	0	0	0	0	0	0.737
228	Keith Creel	R	74	180	0	0	23.10810811	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
229	Terry Crowley	L	72	180	0.25	42	24.40972222	1	6.480740698	"(23,25]"	0	1	0	0	42	0	132.9113924	0.316
230	Horace Clarke	B	69	170	0.26	27	25.10186936	1	5.196152423	"(25,32]"	0	0	1	0	0	27	259.6153846	0.104
231	Lou Clinton	R	73	185	0.25	65	24.40514168	1	8.062257748	"(23,25]"	1	0	0	65	0	0	88.1953867	0.737
232	Larry Cox	R	70	178	0.22	12	25.53755102	1	3.464101615	"(25,32]"	1	0	0	12	0	0	16.28222524	0.737
233	Nate Colbert	R	74	190	0.24	173	24.39189189	1	13.15294644	"(23,25]"	1	0	0	173	0	0	234.7354138	0.737
234	Phil Roof	R	74	190	0.22	43	24.39189189	1	6.557438524	"(23,25]"	1	0	0	43	0	0	58.34464043	0.737
235	Chuck Hinton	R	73	180	0.26	113	23.74554325	1	10.63014581	"(23,25]"	1	0	0	113	0	0	153.3242877	0.737
236	Tim Cullen	R	73	185	0.22	9	24.40514168	1	3	"(23,25]"	1	0	0	9	0	0	12.21166893	0.737
237	Tim Harkness	L	74	182	0.24	14	23.36486486	1	3.741657387	"(23,25]"	0	1	0	0	14	0	44.30379747	0.316
238	Rick Bosetti	R	71	185	0.25	17	25.79944455	1	4.123105626	"(25,32]"	1	0	0	17	0	0	23.06648575	0.737
239	Ron Pruitt	R	72	185	0.27	12	25.08777006	1	3.464101615	"(25,32]"	1	0	0	12	0	0	16.28222524	0.737
240	George Foster	R	73	180	0.27	348	23.74554325	1	18.65475811	"(23,25]"	1	0	0	348	0	0	472.1845319	0.737
241	Jerry White	B	70	164	0.25	21	23.52897959	1	4.582575695	"(23,25]"	0	0	1	0	0	21	201.9230769	0.104
242	Angel Mangual	R	70	178	0.25	22	25.53755102	1	4.69041576	"(25,32]"	1	0	0	22	0	0	29.85074627	0.737
243	Ken Gerhart	R	72	190	0.22	24	25.7658179	1	4.898979486	"(25,32]"	1	0	0	24	0	0	32.56445047	0.737
244	Mike Hershberger	R	70	175	0.25	26	25.10714286	1	5.099019514	"(25,32]"	1	0	0	26	0	0	35.27815468	0.737
245	Jim French	L	68	180	0.2	5	27.36591696	1	2.236067977	"(25,32]"	0	1	0	0	5	0	15.82278481	0.316
246	Dave Roberts	L	75	195	0.19	7	24.37066667	1	2.645751311	"(23,25]"	0	1	0	0	7	0	22.15189873	0.316
247	Jim Mason	L	74	185	0.2	12	23.75	1	3.464101615	"(23,25]"	0	1	0	0	12	0	37.97468354	0.316
248	Mike Smith	R	75	180	0	0	22.496	0	0	"(16,23]"	1	0	0	0	0	0	0	0.737
249	Willie Smith	L	72	182	0.25	46	24.68094136	1	6.782329983	"(23,25]"	0	1	0	0	46	0	145.5696203	0.316
250	T.R. Bryden	R	76	190	0	0	23.125	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
251	Jose Arcia	R	75	170	0.22	1	21.24622222	1	1	"(16,23]"	1	0	0	1	0	0	1.356852103	0.737
252	Leon Durham	L	73	185	0.28	147	24.40514168	1	12.12435565	"(23,25]"	0	1	0	0	147	0	465.1898734	0.316
253	Tom Makowski	R	71	185	0	0	25.79944455	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
254	Paul Householder	B	72	180	0.24	29	24.40972222	1	5.385164807	"(23,25]"	0	0	1	0	0	29	278.8461538	0.104
255	Aurelio Rodriguez	R	70	180	0.24	124	25.8244898	1	11.13552873	"(25,32]"	1	0	0	124	0	0	168.2496608	0.737
256	Jimmy Stewart	B	72	165	0.24	8	22.3755787	1	2.828427125	"(16,23]"	0	0	1	0	0	8	76.92307692	0.104
257	Dick Phillips	L	72	180	0.23	12	24.40972222	1	3.464101615	"(23,25]"	0	1	0	0	12	0	37.97468354	0.316
258	Andres Thomas	R	73	170	0.23	42	22.42634641	1	6.480740698	"(16,23]"	1	0	0	42	0	0	56.98778833	0.737
259	Ed Crosby	L	74	175	0.22	0	22.46621622	1	0	"(16,23]"	0	1	0	0	0	0	0	0.316
260	Mike de la Hoz	R	71	175	0.25	25	24.40487998	1	5	"(23,25]"	1	0	0	25	0	0	33.92130258	0.737
261	Frank Taveras	R	72	155	0.26	2	21.01948302	1	1.414213562	"(16,23]"	1	0	0	2	0	0	2.713704206	0.737
262	Joe Nossek	R	72	178	0.23	3	24.13850309	1	1.732050808	"(23,25]"	1	0	0	3	0	0	4.070556309	0.737
263	Larry Stahl	L	72	175	0.23	36	23.73167438	1	6	"(23,25]"	0	1	0	0	36	0	113.9240506	0.316
264	Jose Cruz	L	72	170	0.28	165	23.05362654	1	12.84523258	"(23,25]"	0	1	0	0	165	0	522.1518987	0.316
265	Don Mason	L	71	160	0.21	3	22.31303313	1	1.732050808	"(16,23]"	0	1	0	0	3	0	9.493670886	0.316
266	Bill Robinson	R	74	189	0.26	166	24.26351351	1	12.88409873	"(23,25]"	1	0	0	166	0	0	225.2374491	0.737
267	Jim Umbarger	L	78	200	0	0	23.10979619	0	0	"(23,25]"	0	1	0	0	0	0	0	0.316
268	Sal Bando	R	72	195	0.25	242	26.44386574	1	15.55634919	"(25,32]"	1	0	0	242	0	0	328.358209	0.737
269	George Mitterwald	R	74	195	0.24	76	25.03378378	1	8.717797887	"(25,32]"	1	0	0	76	0	0	103.1207598	0.737
270	Mike Darr	R	76	190	0	0	23.125	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
271	Craig Robinson	R	70	165	0.22	0	23.67244898	1	0	"(23,25]"	1	0	0	0	0	0	0	0.737
272	Bob Tillman	R	76	205	0.23	79	24.95065789	1	8.888194417	"(23,25]"	1	0	0	79	0	0	107.1913161	0.737
273	Curt Wardle	L	77	220	0	0	26.08534323	0	0	"(25,32]"	0	1	0	0	0	0	0	0.316
274	Pat Corrales	R	72	180	0.22	4	24.40972222	1	2	"(23,25]"	1	0	0	4	0	0	5.427408412	0.737
275	Mike Tyson	R	69	170	0.24	27	25.10186936	1	5.196152423	"(25,32]"	1	0	0	27	0	0	36.63500678	0.737
276	Rafael Landestoy	B	70	165	0.24	4	23.67244898	1	2	"(23,25]"	0	0	1	0	0	4	38.46153846	0.104
277	Duane Josephson	R	72	190	0.26	23	25.7658179	1	4.795831523	"(25,32]"	1	0	0	23	0	0	31.20759837	0.737
278	Duane Walker	L	72	185	0.23	24	25.08777006	1	4.898979486	"(25,32]"	0	1	0	0	24	0	75.94936709	0.316
279	Glenn Hubbard	R	69	150	0.24	70	22.14870825	1	8.366600265	"(16,23]"	1	0	0	70	0	0	94.97964722	0.737
280	Roger Freed	R	72	190	0.25	22	25.7658179	1	4.69041576	"(25,32]"	1	0	0	22	0	0	29.85074627	0.737
281	George Hendrick	R	75	195	0.28	267	24.37066667	1	16.34013464	"(23,25]"	1	0	0	267	0	0	362.2795115	0.737
282	Rod Carew	L	72	170	0.33	92	23.05362654	1	9.591663047	"(23,25]"	0	1	0	0	92	0	291.1392405	0.316
283	Bob Davis	R	72	180	0.2	6	24.40972222	1	2.449489743	"(23,25]"	1	0	0	6	0	0	8.141112619	0.737
284	Toby Harrah	R	72	175	0.26	195	23.73167438	1	13.96424004	"(23,25]"	1	0	0	195	0	0	264.5861601	0.737
285	Rick Manning	L	73	180	0.26	56	23.74554325	1	7.483314774	"(23,25]"	0	1	0	0	56	0	177.2151899	0.316
286	Israel Sanchez	L	69	170	0	0	25.10186936	0	0	"(25,32]"	0	1	0	0	0	0	0	0.316
287	Steve Burke	B	74	200	0	0	25.67567568	0	0	"(25,32]"	0	0	1	0	0	0	0	0.104
288	Gary Matthews	R	74	185	0.28	234	23.75	1	15.29705854	"(23,25]"	1	0	0	234	0	0	317.5033921	0.737
289	Cesar Geronimo	L	72	165	0.26	51	22.3755787	1	7.141428429	"(16,23]"	0	1	0	0	51	0	161.3924051	0.316
290	Billy Bryan	L	76	200	0.22	41	24.34210526	1	6.403124237	"(23,25]"	0	1	0	0	41	0	129.7468354	0.316
291	Terry Taylor	R	73	180	0	0	23.74554325	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
292	Terry Whitfield	L	73	197	0.28	33	25.98817789	1	5.744562647	"(25,32]"	0	1	0	0	33	0	104.4303797	0.316
293	Mario Mendoza	R	71	170	0.22	4	23.7075977	1	2	"(23,25]"	1	0	0	4	0	0	5.427408412	0.737
294	Fred Lynn	L	73	185	0.28	306	24.40514168	1	17.49285568	"(23,25]"	0	1	0	0	306	0	968.3544304	0.316
295	Larry Hisle	R	74	193	0.27	166	24.77702703	1	12.88409873	"(23,25]"	1	0	0	166	0	0	225.2374491	0.737
296	Graig Nettles	L	72	180	0.25	390	24.40972222	1	19.74841766	"(23,25]"	0	1	0	0	390	0	1234.177215	0.316
297	Randy Nosek	R	76	215	0	0	26.16776316	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
298	Dave Engle	R	75	210	0.26	31	26.24533333	1	5.567764363	"(25,32]"	1	0	0	31	0	0	42.0624152	0.737
299	Narciso Elvira	L	70	160	0	0	22.95510204	0	0	"(16,23]"	0	1	0	0	0	0	0	0.316
300	Mike Easler	L	72	190	0.29	118	25.7658179	1	10.86278049	"(25,32]"	0	1	0	0	118	0	373.4177215	0.316
301	Mark Smith	R	74	215	0	0	27.60135135	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
302	Paul Mitchell	R	73	195	0	0	25.72433853	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
303	Rick Sweet	B	73	200	0.23	6	26.38393695	1	2.449489743	"(25,32]"	0	0	1	0	0	6	57.69230769	0.104
304	Thurman Munson	R	71	190	0.29	113	26.49672684	1	10.63014581	"(25,32]"	1	0	0	113	0	0	153.3242877	0.737
305	Rick Monday	L	75	193	0.26	241	24.12071111	1	15.5241747	"(23,25]"	0	1	0	0	241	0	762.6582278	0.316
306	Mike Sadek	R	69	165	0.23	5	24.36357908	1	2.236067977	"(23,25]"	1	0	0	5	0	0	6.784260516	0.737
307	Mark Belanger	R	73	170	0.23	20	22.42634641	1	4.472135955	"(16,23]"	1	0	0	20	0	0	27.13704206	0.737
308	Ron Hunt	R	72	186	0.27	39	25.22337963	1	6.244997998	"(25,32]"	1	0	0	39	0	0	52.91723202	0.737
309	Joe Keough	L	72	185	0.25	9	25.08777006	1	3	"(25,32]"	0	1	0	0	9	0	28.48101266	0.316
310	Butch Edge	R	75	203	0	0	25.37048889	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
311	Vic Correll	R	70	185	0.23	29	26.54183673	1	5.385164807	"(25,32]"	1	0	0	29	0	0	39.34871099	0.737
312	Jackie Hernandez	R	71	165	0.21	12	23.01031541	1	3.464101615	"(23,25]"	1	0	0	12	0	0	16.28222524	0.737
313	Tony Solaita	L	72	210	0.26	50	28.47800926	1	7.071067812	"(25,32]"	0	1	0	0	50	0	158.2278481	0.316
314	U L Washington	B	71	175	0.25	27	24.40487998	1	5.196152423	"(23,25]"	0	0	1	0	0	27	259.6153846	0.104
315	Gary Mielke	R	75	185	0	0	23.12088889	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
316	Rick Henninger	R	78	225	0	0	25.99852071	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
317	Joe Foy	R	72	215	0.25	58	29.1560571	1	7.615773106	"(25,32]"	1	0	0	58	0	0	78.69742198	0.737
318	Ed Goodson	L	75	180	0.26	30	22.496	1	5.477225575	"(16,23]"	0	1	0	0	30	0	94.93670886	0.316
319	Mark Brown	B	74	190	0	0	24.39189189	0	0	"(23,25]"	0	0	1	0	0	0	0	0.104
320	Mickey Klutts	R	71	170	0.24	14	23.7075977	1	3.741657387	"(23,25]"	1	0	0	14	0	0	18.99592944	0.737
321	Leroy Stanton	R	73	195	0.24	77	25.72433853	1	8.774964387	"(25,32]"	1	0	0	77	0	0	104.4776119	0.737
322	Rafael Vasquez	R	72	160	0	0	21.69753086	0	0	"(16,23]"	1	0	0	0	0	0	0	0.737
323	Len Whitehouse	L	71	175	0	0	24.40487998	0	0	"(23,25]"	0	1	0	0	0	0	0	0.316
324	Danny Ainge	R	76	175	0.22	2	21.29934211	1	1.414213562	"(16,23]"	1	0	0	2	0	0	2.713704206	0.737
325	Adolfo Phillips	R	73	175	0.25	59	23.08594483	1	7.681145748	"(23,25]"	1	0	0	59	0	0	80.05427408	0.737
326	Marv Breeding	R	72	175	0.25	7	23.73167438	1	2.645751311	"(23,25]"	1	0	0	7	0	0	9.497964722	0.737
327	Steve Adkins	R	78	210	0	0	24.265286	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
328	Dick McAuliffe	L	71	176	0.25	197	24.54433644	1	14.03566885	"(23,25]"	0	1	0	0	197	0	623.4177215	0.316
329	Joe Horlen	R	72	170	0.13	0	23.05362654	1	0	"(23,25]"	1	0	0	0	0	0	0	0.737
330	Glenn Burke	R	72	195	0.24	2	26.44386574	1	1.414213562	"(25,32]"	1	0	0	2	0	0	2.713704206	0.737
331	Tony Mack	R	70	177	0	0	25.39408163	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
332	Terry Humphrey	R	75	185	0.21	6	23.12088889	1	2.449489743	"(23,25]"	1	0	0	6	0	0	8.141112619	0.737
333	Bill Moran	R	76	210	0	0	25.55921053	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
334	Enzo Hernandez	R	68	155	0.22	2	23.56509516	1	1.414213562	"(23,25]"	1	0	0	2	0	0	2.713704206	0.737
335	Cesar Gutierrez	R	69	155	0.24	0	22.88699853	1	0	"(16,23]"	1	0	0	0	0	0	0	0.737
336	Coco Laboy	R	70	165	0.23	28	23.67244898	1	5.291502622	"(23,25]"	1	0	0	28	0	0	37.99185889	0.737
337	Ted Kubiak	B	72	175	0.23	13	23.73167438	1	3.605551275	"(23,25]"	0	0	1	0	0	13	125	0.104
338	Jim Morrison	R	71	175	0.26	112	24.40487998	1	10.58300524	"(23,25]"	1	0	0	112	0	0	151.9674355	0.737
339	Tom Gilles	R	73	185	0	0	24.40514168	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
340	Bobby Knoop	R	73	170	0.24	56	22.42634641	1	7.483314774	"(16,23]"	1	0	0	56	0	0	75.98371777	0.737
341	Bobby Brown	B	74	190	0.25	26	24.39189189	1	5.099019514	"(23,25]"	0	0	1	0	0	26	250	0.104
342	Tom Hutton	L	71	180	0.25	22	25.10216227	1	4.69041576	"(25,32]"	0	1	0	0	22	0	69.62025316	0.316
343	Ron Hodges	L	73	185	0.24	19	24.40514168	1	4.358898944	"(23,25]"	0	1	0	0	19	0	60.12658228	0.316
344	Rich Chiles	L	71	170	0.25	6	23.7075977	1	2.449489743	"(23,25]"	0	1	0	0	6	0	18.98734177	0.316
345	Tom Paciorek	R	76	215	0.28	86	26.16776316	1	9.273618495	"(25,32]"	1	0	0	86	0	0	116.6892809	0.737
346	Gary Woods	R	74	185	0.24	13	23.75	1	3.605551275	"(23,25]"	1	0	0	13	0	0	17.63907734	0.737
347	Bob Montgomery	R	73	195	0.26	23	25.72433853	1	4.795831523	"(25,32]"	1	0	0	23	0	0	31.20759837	0.737
348	Jeff Burroughs	R	73	200	0.26	240	26.38393695	1	15.49193338	"(25,32]"	1	0	0	240	0	0	325.6445047	0.737
349	Rusty Staub	L	74	190	0.28	292	24.39189189	1	17.08800749	"(23,25]"	0	1	0	0	292	0	924.0506329	0.316
350	Jim Norris	L	70	175	0.26	7	25.10714286	1	2.645751311	"(25,32]"	0	1	0	0	7	0	22.15189873	0.316
351	Oscar Gamble	L	71	160	0.27	200	22.31303313	1	14.14213562	"(16,23]"	0	1	0	0	200	0	632.9113924	0.316
352	Bob Kammeyer	R	76	210	0	0	25.55921053	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
353	George Vukovich	L	72	198	0.27	27	26.85069444	1	5.196152423	"(25,32]"	0	1	0	0	27	0	85.44303797	0.316
354	Joe Pactwa	L	71	185	0	0	25.79944455	0	0	"(25,32]"	0	1	0	0	0	0	0	0.316
355	Craig Reynolds	L	73	175	0.26	42	23.08594483	1	6.480740698	"(23,25]"	0	1	0	0	42	0	132.9113924	0.316
356	Paul Blair	R	72	168	0.25	134	22.78240741	1	11.5758369	"(16,23]"	1	0	0	134	0	0	181.8181818	0.737
357	Al Cowens	R	73	197	0.27	108	25.98817789	1	10.39230485	"(25,32]"	1	0	0	108	0	0	146.5400271	0.737
358	Al Oliver	L	72	195	0.3	219	26.44386574	1	14.79864859	"(25,32]"	0	1	0	0	219	0	693.0379747	0.316
359	Dave Hilton	R	71	191	0.21	6	26.6361833	1	2.449489743	"(25,32]"	1	0	0	6	0	0	8.141112619	0.737
360	Luis Alvarado	R	69	162	0.21	5	23.92060491	1	2.236067977	"(23,25]"	1	0	0	5	0	0	6.784260516	0.737
361	Larry Parrish	R	75	190	0.26	256	23.74577778	1	16	"(23,25]"	1	0	0	256	0	0	347.3541384	0.737
362	Woodie Fryman	R	75	197	0.14	2	24.62062222	1	1.414213562	"(23,25]"	1	0	0	2	0	0	2.713704206	0.737
363	Bob Randall	R	74	175	0.26	1	22.46621622	1	1	"(16,23]"	1	0	0	1	0	0	1.356852103	0.737
364	Jim Pankovits	R	70	170	0.25	9	24.38979592	1	3	"(23,25]"	1	0	0	9	0	0	12.21166893	0.737
365	Sherman Corbett	L	76	205	0	0	24.95065789	0	0	"(23,25]"	0	1	0	0	0	0	0	0.316
366	Carmen Fanzone	R	72	200	0.22	20	27.12191358	1	4.472135955	"(25,32]"	1	0	0	20	0	0	27.13704206	0.737
367	Gary Allenson	R	71	185	0.22	19	25.79944455	1	4.358898944	"(25,32]"	1	0	0	19	0	0	25.78018996	0.737
368	Milt May	L	72	190	0.26	77	25.7658179	1	8.774964387	"(25,32]"	0	1	0	0	77	0	243.6708861	0.316
369	Mike Vail	R	73	180	0.28	34	23.74554325	1	5.830951895	"(23,25]"	1	0	0	34	0	0	46.13297151	0.737
370	Nick Esasky	R	75	200	0.25	122	24.99555556	1	11.04536102	"(23,25]"	1	0	0	122	0	0	165.5359566	0.737
371	Jim Nettles	L	72	186	0.22	16	25.22337963	1	4	"(25,32]"	0	1	0	0	16	0	50.63291139	0.316
372	Lafayette Currence	B	71	175	0	0	24.40487998	0	0	"(23,25]"	0	0	1	0	0	0	0	0.104
373	Chris Cannizzaro	R	72	190	0.24	18	25.7658179	1	4.242640687	"(25,32]"	1	0	0	18	0	0	24.42333786	0.737
374	Larry Biittner	L	74	205	0.27	29	26.31756757	1	5.385164807	"(25,32]"	0	1	0	0	29	0	91.7721519	0.316
375	John Pawlowski	R	74	175	0	0	22.46621622	0	0	"(16,23]"	1	0	0	0	0	0	0	0.737
376	Mel Stottlemyre	R	73	178	0.16	7	23.48170388	1	2.645751311	"(23,25]"	1	0	0	7	0	0	9.497964722	0.737
377	Jack Hardy	R	74	175	0	0	22.46621622	0	0	"(16,23]"	1	0	0	0	0	0	0	0.737
378	Ron Musselman	R	74	185	0	0	23.75	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
379	Roy Smalley	B	73	185	0.26	163	24.40514168	1	12.76714533	"(23,25]"	0	0	1	0	0	163	1567.307692	0.104
380	Tony Chevez	R	71	177	0	0	24.6837929	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
381	Andy Messersmith	R	73	200	0.17	5	26.38393695	1	2.236067977	"(25,32]"	1	0	0	5	0	0	6.784260516	0.737
382	Richie Zisk	R	73	200	0.29	207	26.38393695	1	14.38749457	"(25,32]"	1	0	0	207	0	0	280.8683853	0.737
383	Dave Chalk	R	70	175	0.25	15	25.10714286	1	3.872983346	"(25,32]"	1	0	0	15	0	0	20.35278155	0.737
384	Don Baylor	R	73	190	0.26	338	25.0647401	1	18.38477631	"(25,32]"	1	0	0	338	0	0	458.6160109	0.737
385	John Vukovich	R	73	187	0.16	6	24.66898105	1	2.449489743	"(23,25]"	1	0	0	6	0	0	8.141112619	0.737
386	Danny Thompson	R	72	183	0.25	15	24.81655093	1	3.872983346	"(23,25]"	1	0	0	15	0	0	20.35278155	0.737
387	Joe Simpson	L	75	175	0.24	9	21.87111111	1	3	"(16,23]"	0	1	0	0	9	0	28.48101266	0.316
388	Bill Fahey	L	72	200	0.24	7	27.12191358	1	2.645751311	"(25,32]"	0	1	0	0	7	0	22.15189873	0.316
389	Doug Camilli	R	71	195	0.2	18	27.19400913	1	4.242640687	"(25,32]"	1	0	0	18	0	0	24.42333786	0.737
390	Bernie Allen	L	72	175	0.24	73	23.73167438	1	8.544003745	"(23,25]"	0	1	0	0	73	0	231.0126582	0.316
391	Bruce Bochy	R	75	205	0.24	26	25.62044444	1	5.099019514	"(25,32]"	1	0	0	26	0	0	35.27815468	0.737
392	Gary Ignasiak	R	71	185	0	0	25.79944455	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
393	Claudell Washington	L	72	190	0.28	164	25.7658179	1	12.80624847	"(25,32]"	0	1	0	0	164	0	518.9873418	0.316
394	John Donaldson	L	71	160	0.24	4	22.31303313	1	2	"(16,23]"	0	1	0	0	4	0	12.65822785	0.316
395	Mike Smithson	L	80	215	0	0	23.61640625	0	0	"(23,25]"	0	1	0	0	0	0	0	0.316
396	John Mayberry	L	75	215	0.25	255	26.87022222	1	15.96871942	"(25,32]"	0	1	0	0	255	0	806.9620253	0.316
397	Ken Reitz	R	72	180	0.26	68	24.40972222	1	8.246211251	"(23,25]"	1	0	0	68	0	0	92.26594301	0.737
398	Amos Otis	R	71	165	0.28	193	23.01031541	1	13.89244399	"(23,25]"	1	0	0	193	0	0	261.8724559	0.737
399	Gene Alley	R	70	160	0.25	55	22.95510204	1	7.416198487	"(16,23]"	1	0	0	55	0	0	74.62686567	0.737
400	Ted Sizemore	R	70	165	0.26	23	23.67244898	1	4.795831523	"(23,25]"	1	0	0	23	0	0	31.20759837	0.737
401	Dan Briggs	L	72	180	0.2	12	24.40972222	1	3.464101615	"(23,25]"	0	1	0	0	12	0	37.97468354	0.316
402	Joe Skalski	R	75	190	0	0	23.74577778	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
403	Doug Flynn	R	71	165	0.24	7	23.01031541	1	2.645751311	"(23,25]"	1	0	0	7	0	0	9.497964722	0.737
404	Bert Bradley	B	73	190	0	0	25.0647401	0	0	"(25,32]"	0	0	1	0	0	0	0	0.104
405	Ken Holtzman	R	74	175	0.16	2	22.46621622	1	1.414213562	"(16,23]"	1	0	0	2	0	0	2.713704206	0.737
406	Pete Ward	L	73	185	0.25	98	24.40514168	1	9.899494937	"(23,25]"	0	1	0	0	98	0	310.1265823	0.316
407	Kevin Bell	R	72	195	0.22	13	26.44386574	1	3.605551275	"(25,32]"	1	0	0	13	0	0	17.63907734	0.737
408	Tom Nieto	R	73	193	0.21	5	25.46049916	1	2.236067977	"(25,32]"	1	0	0	5	0	0	6.784260516	0.737
409	Duke Sims	L	74	197	0.24	100	25.29054054	1	10	"(25,32]"	0	1	0	0	100	0	316.4556962	0.316
410	Larvell Blanks	R	68	167	0.25	20	25.38948962	1	4.472135955	"(25,32]"	1	0	0	20	0	0	27.13704206	0.737
411	Francisco Barrios	R	71	155	0	0	21.61575084	0	0	"(16,23]"	1	0	0	0	0	0	0	0.737
412	Mike Davis	L	74	175	0.26	91	22.46621622	1	9.539392014	"(16,23]"	0	1	0	0	91	0	287.9746835	0.316
413	Jerry Reuss	L	77	200	0.17	1	23.71394839	1	1	"(23,25]"	0	1	0	0	1	0	3.164556962	0.316
414	Steve Yeager	R	72	190	0.23	102	25.7658179	1	10.09950494	"(25,32]"	1	0	0	102	0	0	138.3989145	0.737
415	Danny Goodwin	L	73	195	0.24	13	25.72433853	1	3.605551275	"(25,32]"	0	1	0	0	13	0	41.13924051	0.316
416	Bud Harrelson	B	71	160	0.24	7	22.31303313	1	2.645751311	"(16,23]"	0	0	1	0	0	7	67.30769231	0.104
417	Bob Knepper	L	75	195	0.14	6	24.37066667	1	2.449489743	"(23,25]"	0	1	0	0	6	0	18.98734177	0.316
418	Mickey Rivers	L	70	165	0.3	61	23.67244898	1	7.810249676	"(23,25]"	0	1	0	0	61	0	193.0379747	0.316
419	Jim Northrup	L	75	190	0.27	153	23.74577778	1	12.36931688	"(23,25]"	0	1	0	0	153	0	484.1772152	0.316
420	John Hale	L	74	195	0.2	14	25.03378378	1	3.741657387	"(25,32]"	0	1	0	0	14	0	44.30379747	0.316
421	Reggie Ritter	L	74	195	0	0	25.03378378	0	0	"(25,32]"	0	1	0	0	0	0	0	0.316
422	Pedro Garcia	R	70	175	0.22	37	25.10714286	1	6.08276253	"(25,32]"	1	0	0	37	0	0	50.20352782	0.737
423	Carl Yastrzemski	L	71	175	0.29	452	24.40487998	1	21.26029163	"(23,25]"	0	1	0	0	452	0	1430.379747	0.316
424	Bob Babcock	R	77	210	0	0	24.89964581	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
425	Craig Eaton	R	71	175	0	0	24.40487998	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
426	Derrel Thomas	B	72	160	0.25	43	21.69753086	1	6.557438524	"(16,23]"	0	0	1	0	0	43	413.4615385	0.104
427	Art Howe	R	74	190	0.26	43	24.39189189	1	6.557438524	"(23,25]"	1	0	0	43	0	0	58.34464043	0.737
428	Ike Brown	R	72	190	0.26	20	25.7658179	1	4.472135955	"(25,32]"	1	0	0	20	0	0	27.13704206	0.737
429	Howie Goss	R	76	204	0.22	11	24.82894737	1	3.31662479	"(23,25]"	1	0	0	11	0	0	14.92537313	0.737
430	Glenn Borgmann	R	76	210	0.23	16	25.55921053	1	4	"(25,32]"	1	0	0	16	0	0	21.70963365	0.737
431	Lamar Johnson	R	74	215	0.29	64	27.60135135	1	8	"(25,32]"	1	0	0	64	0	0	86.8385346	0.737
432	Julio Gonzalez	R	71	162	0.24	4	22.59194604	1	2	"(16,23]"	1	0	0	4	0	0	5.427408412	0.737
433	Bobby Klaus	R	70	170	0.21	6	24.38979592	1	2.449489743	"(23,25]"	1	0	0	6	0	0	8.141112619	0.737
434	Manny Sanguillen	R	72	193	0.3	65	26.1726466	1	8.062257748	"(25,32]"	1	0	0	65	0	0	88.1953867	0.737
435	Gates Brown	L	71	220	0.26	84	30.68042055	1	9.16515139	"(25,32]"	0	1	0	0	84	0	265.8227848	0.316
436	Johnny Ray	B	71	170	0.29	53	23.7075977	1	7.280109889	"(23,25]"	0	0	1	0	0	53	509.6153846	0.104
437	Jesus Alou	R	74	190	0.28	32	24.39189189	1	5.656854249	"(23,25]"	1	0	0	32	0	0	43.4192673	0.737
438	Ken Landreaux	L	70	165	0.27	91	23.67244898	1	9.539392014	"(23,25]"	0	1	0	0	91	0	287.9746835	0.316
